city,2013,2014,2015,2016,2017,2018,2019
Montebello city,63279,63322,63379,63134,62823,62440,61954
Monterey city,28600,28549,28496,28568,28411,28170,28178
Monterey Park city,60796,60832,60908,60830,60668,60198,59669
Monte Sereno city,3442,3473,3489,3511,3514,3480,3427
Moorpark city,35136,35474,36000,36444,36561,36438,36375
Moraga town,16753,16993,17220,17441,17600,17693,17783
Moreno Valley city,200195,201831,202919,204711,206741,208889,213055
Morgan Hill city,41028,42074,42991,44430,44961,45084,45952
Morro Bay city,10447,10498,10578,10612,10603,10559,10543
Mountain View city,77955,79150,80345,80821,81189,83168,82739
Mount Shasta city,3263,3271,3274,3270,3286,3277,3274
Murrieta city,107361,108037,109372,111492,112995,114715,116223
Napa city,78728,79384,79636,79616,79083,78946,78130
National City city,59776,60132,60721,60967,61083,61272,61394
Needles city,4908,4928,4949,4967,4987,4977,4976
Nevada City city,3095,3070,3153,3145,3136,3139,3148
Newark city,44078,44640,45236,45872,47429,48185,49149
Newman city,10629,10711,10840,11065,11288,11611,11784
Newport Beach city,86877,86688,86585,86510,85740,85074,84534
Norco city,27033,26998,26307,26807,26861,26791,26604
Norwalk city,106122,106189,106237,105844,105466,104798,103949
Novato city,54142,54856,55406,55913,55701,55640,55516
Oakdale city,21457,21764,22125,22573,23026,23395,23596
Oakland city,406648,412901,418211,420947,424382,429056,433031
Oakley city,38142,39118,39708,40665,41618,42121,42543
Oceanside city,173175,174318,175189,175451,175884,175758,175742
Ojai city,7573,7593,7593,7573,7545,7480,7470
Ontario city,167096,168097,170210,172561,175334,180718,185010
Orange city,139972,139424,140503,140581,140251,139449,138669
Orange Cove city,10215,10220,10258,10272,10293,10286,10273
Orinda city,18674,18973,19251,19521,19707,19821,19926
Orland city,7442,7486,7489,7523,7622,7635,7827
Oroville city,18750,18945,18956,18996,19103,19130,20737
Oxnard city,202835,204560,206228,207455,208831,209271,208881
Pacifica city,38722,39074,39309,39267,38999,38754,38546
Pacific Grove city,15435,15495,15551,15585,15575,15487,15413
Palmdale city,156495,156770,156988,156739,156558,156158,155079
Palm Desert city,50357,50916,51552,52077,52794,53129,53275
Palm Springs city,46158,46634,47111,47577,48048,48355,48518
Palo Alto city,66613,66848,66782,67353,66960,66258,65364
Palos Verdes Estates city,13541,13548,13555,13536,13462,13360,13273
Paradise town,26245,26353,26378,26482,26629,26711,4476
Paramount city,54854,54914,54971,54789,54621,54259,53955
Parlier city,14882,14991,15141,15213,15283,15342,15618
Pasadena city,139292,139529,141025,141601,141757,140906,141029
Patterson city,20985,21270,21509,21824,22125,22345,22524
Perris city,72295,73485,74613,76046,77563,78903,79291
Petaluma city,59337,59753,60295,60468,60682,61826,60520
Pico Rivera city,63597,63637,63670,63438,63133,62677,62027
Piedmont city,11085,11228,11361,11401,11368,11251,11135
Pinole city,18880,19057,19232,19330,19333,19325,19250
Pismo Beach city,7856,7900,8117,8180,8220,8206,8168
Pittsburg city,66646,67974,69260,70798,72000,72450,72588
Placentia city,52105,52108,52202,52154,51916,51538,51233
Placerville city,10562,10674,10762,10810,11020,11064,11175
Pleasant Hill city,34062,34385,34700,34883,34903,34889,34839
Pleasanton city,74026,77454,79265,82330,82831,82357,81777
Plymouth city,968,965,973,985,995,1036,1076
Point Arena city,446,448,448,448,449,452,449
Pomona city,151072,152225,152407,152445,152468,151925,151691
Porterville city,58891,58995,59721,59699,59745,59685,59599
Port Hueneme city,22114,22049,22334,22243,22217,22117,21926
Portola city,1961,1929,1906,1927,1922,1928,1930
Portola Valley town,4514,4572,4603,4612,4596,4591,4568
Poway city,49377,49649,49877,49915,49802,49576,49323
Rancho Cordova city,67722,69389,70640,72162,73398,74478,75087
Rancho Cucamonga city,170815,173220,174203,175782,176921,177345,177603
Rancho Mirage city,17607,17761,17886,18053,18225,18305,18528
Rancho Palos Verdes city,42326,42368,42401,42303,42136,41821,41530
Rancho Santa Margarita city,49038,49069,49027,48828,48566,48197,47896
Red Bluff city,14022,13987,14097,14167,14265,14303,14539
Redding city,90773,91120,90963,91203,91525,91606,92590
Redlands city,69800,70209,70625,71027,71342,71416,71513
Redondo Beach city,67629,67673,67771,67809,67511,67206,66749
Redwood City city,81034,82741,85274,85293,86394,86105,85925
Reedley city,25002,25395,25541,25583,25602,25607,25658
Rialto city,101547,102031,102485,102896,103234,103232,103526
Richmond city,107083,107921,109062,109663,109860,110189,110567
Ridgecrest city,28569,28591,28616,28604,28699,28851,28973
Rio Dell city,3365,3364,3368,3399,3399,3381,3349
Rio Vista city,7712,8005,8280,8598,8952,9206,9718
Ripon city,14803,14998,15185,15551,15754,16018,16386
Riverbank city,23400,23606,23879,24271,24585,24700,24881
Riverside city,315510,317702,320483,323684,326882,329654,331360
Rocklin city,59613,60060,60908,62605,64654,67065,68823
Rohnert Park city,41325,42104,42293,42570,42697,43676,43291
Rolling Hills city,1885,1884,1882,1880,1871,1861,1845
Rolling Hills Estates city,8183,8193,8211,8203,8176,8114,8058
Rosemead city,54398,54429,54440,54332,54221,54226,54058
Roseville city,126769,128397,130018,132708,135077,138953,141500
Ross town,2473,2485,2482,2472,2464,2457,2451
Sacramento city,478214,482762,488133,494127,500777,507737,513624
St. Helena city,5921,5946,6026,6103,6152,6142,6102
Salinas city,154958,155717,156244,156830,156463,155647,155465
San Anselmo town,12586,12623,12608,12572,12523,12522,12476
San Bernardino city,213789,214222,215325,216036,216902,216323,215784
San Bruno city,42593,42992,43243,43196,43207,43043,42807
San Buenaventura (Ventura) city,109339,109535,109668,109893,110093,110731,109106
San Carlos city,29426,29723,29901,29894,30393,30331,30185
San Clemente city,64845,64947,65142,65185,64973,64699,64558
Sand City city,343,377,378,381,384,396,399
San Diego city,1355320,1375831,1387323,1402089,1412621,1421917,1423851
San Dimas city,33745,34319,34344,34236,34128,33881,33621
San Fernando city,24088,24399,24708,24630,24562,24437,24322
San Francisco city,839572,850750,863010,871512,878040,880696,881549
San Gabriel city,40033,40053,40089,40276,40262,40197,39899
Sanger city,24575,24661,24802,24944,25065,25256,25339
San Jacinto city,45829,46231,46645,47319,48088,48734,49215
San Joaquin city,4005,4004,4013,4020,4026,4022,4021
San Jose city,1001279,1014273,1025980,1030242,1032335,1028020,1021795
San Juan Bautista city,1897,1906,1926,1956,1964,1954,2104
San Juan Capistrano city,35525,35779,35935,35941,35882,35902,35911
San Leandro city,88074,89195,90538,90706,90418,89713,88815
San Luis Obispo city,46236,46478,47016,47313,47344,47300,47459
San Marcos city,89423,92372,93199,94932,95614,96480,96664
San Marino city,13235,13263,13308,13291,13244,13137,13048
San Mateo city,101323,102695,103509,104357,104389,104885,104430
San Pablo city,30083,30365,30724,30999,31077,31100,30990
San Rafael city,58995,59130,59074,58918,58801,58704,58440
San Ramon city,73560,74329,75138,75703,75795,75851,75995
Santa Ana city,333716,333431,333417,333765,332627,331912,332318
Santa Barbara city,90082,90815,91275,91518,91517,91203,91364
Santa Clara city,120486,121967,126024,126429,126709,129085,130365
Santa Clarita city,211376,212283,213184,213526,213734,213549,212979
Santa Cruz city,62731,63172,64082,64396,64815,64643,64608
Santa Fe Springs city,16983,17359,17859,17955,17866,17774,17630
Santa Maria city,102057,103021,104462,105811,106298,107218,107263
Santa Monica city,92050,92087,92422,92176,91747,91106,90401
Santa Paula city,30099,30348,30336,30243,30143,29930,29806
Santa Rosa city,178684,180585,181485,181909,181596,176750,176753
Santee city,56151,56828,57471,57678,57825,57944,58081
Saratoga city,30957,31008,30977,30945,30818,30535,30153
Sausalito city,7115,7159,7157,7136,7108,7101,7068
Scotts Valley city,11743,11828,11907,11910,11891,11817,11757
Seal Beach city,24537,24506,24475,24400,24209,24050,23896
Seaside city,33929,33945,34255,34198,33872,33782,33748
Sebastopol city,7656,7706,7731,7742,7716,7833,7674
Selma city,24259,24325,24440,24683,24695,24758,24825
Shafter city,17273,17612,18367,18985,19472,19998,20401
Shasta Lake city,10108,10112,10094,10107,10165,10236,10413
Sierra Madre city,11028,11056,11065,11022,10968,10879,10793
Signal Hill city,11288,11420,11466,11602,11551,11516,11421
Simi Valley city,125868,126239,126123,125958,126107,125438,125613
Solana Beach city,13219,13283,13374,13400,13377,13339,13296
Soledad city,25772,25239,24882,25594,26154,25968,25999
