city,Year,Population
Dos Palos city,2014,5046.0
Downey city,2014,113091.0
Duarte city,2014,21808.0
Dublin city,2014,54554.0
Dunsmuir city,2014,1567.0
East Palo Alto city,2014,29482.0
Eastvale city,2014,57386.0
El Cajon city,2014,102789.0
El Centro city,2014,43496.0
El Cerrito city,2014,24551.0
Elk Grove city,2014,162701.0
El Monte city,2014,115627.0
El Paso de Robles (Paso Robles) city,2014,31108.0
El Segundo city,2014,16900.0
Emeryville city,2014,11311.0
Encinitas city,2014,62023.0
Escalon city,2014,7343.0
Escondido city,2014,149708.0
Etna city,2014,712.0
Eureka city,2014,26874.0
Exeter city,2014,10490.0
Fairfax town,2014,7631.0
Fairfield city,2014,110727.0
Farmersville city,2014,10711.0
Ferndale city,2014,1363.0
Fillmore city,2014,15324.0
Firebaugh city,2014,8259.0
Folsom city,2014,74950.0
Fontana city,2014,203972.0
Fort Bragg city,2014,7283.0
Fort Jones city,2014,684.0
Fortuna city,2014,11973.0
Foster City city,2014,32698.0
Fountain Valley city,2014,56671.0
Fowler city,2014,6028.0
Fremont city,2014,228274.0
Fresno city,2014,514100.0
Fullerton city,2014,138840.0
Galt city,2014,24760.0
Gardena city,2014,59843.0
Garden Grove city,2014,174423.0
Gilroy city,2014,52538.0
Glendale city,2014,198232.0
Glendora city,2014,51065.0
Goleta city,2014,30880.0
Gonzales city,2014,8379.0
Grand Terrace city,2014,12334.0
Grass Valley city,2014,12840.0
Greenfield city,2014,16826.0
Gridley city,2014,6624.0
Grover Beach city,2014,13464.0
Guadalupe city,2014,7248.0
Gustine city,2014,5649.0
Half Moon Bay city,2014,12355.0
Hanford city,2014,55086.0
Hawaiian Gardens city,2014,14430.0
Hawthorne city,2014,86740.0
Hayward city,2014,154376.0
Healdsburg city,2014,11613.0
Hemet city,2014,82541.0
Hercules city,2014,25038.0
Hermosa Beach city,2014,19659.0
Hesperia city,2014,92071.0
Hidden Hills city,2014,1895.0
Highland city,2014,54325.0
Hillsborough town,2014,11379.0
Hollister city,2014,36665.0
Holtville city,2014,6251.0
