,incident_name,incident_dateonly_extinguished,incident_dateonly_created,incident_acres_burned,incident_longitude,incident_latitude,city,incident_county,incident_id,incident_url
1300,Tree Fire,,2019-07-27,83,-122.656569,41.834366,Yreka,Siskiyou,4ba68199-b45d-49da-91e8-bee9921b621b,https://www.fire.ca.gov/incidents/2019/7/27/tree-fire/
1301,Community Fire,,2019-07-27,35,-122.845,41.838,Yreka,Siskiyou,ee681e0b-54a3-48ad-900c-8037eeb88159,https://www.fire.ca.gov/incidents/2019/7/27/community-fire/
1302,Usal Fire,,2019-07-27,130,-123.846013,39.831762,Redway,Mendocino,5edb4ec4-615c-45fb-a236-9a4225eedaff,https://www.fire.ca.gov/incidents/2019/7/27/usal-fire/
1303,Star Fire,,2019-07-28,156,-117.769766,33.997528,Chino Hills,San Bernardino,d79e71f2-d827-465d-95a8-d80b6e54456e,https://www.fire.ca.gov/incidents/2019/7/28/star-fire/
1304,Tucker Fire,2019-08-11,2019-07-28,14217,-121.260305,41.79591,Tulelake,Modoc,2939928b-0308-4d76-b232-246f064ddd11,https://www.fire.ca.gov/incidents/2019/7/28/tucker-fire/
1305,Dehesa Fire,,2019-07-28,150,-116.796032,32.767649,Harbison Canyon,San Diego,5a633180-7b70-4fb6-b859-b5826775b5fc,https://www.fire.ca.gov/incidents/2019/7/28/dehesa-fire/
1306,Range Fire,2019-08-05,2019-07-28,100,-119.94974,34.665699,Santa Ynez,Santa Barbara,bc2edb86-fb4b-4dba-a9e0-5339f27d9bce,https://www.fire.ca.gov/incidents/2019/7/28/range-fire/
1307,Lake Fire,,2019-07-29,316,-120.984167,35.908333,Lake Nacimiento,Monterey,540b19a4-b84c-4d9c-9cb3-746b53a094b7,https://www.fire.ca.gov/incidents/2019/7/29/lake-fire/
1308,Mill Fire,2019-08-12,2019-07-30,280,-121.466944,36.008889,Greenfield,Monterey,233708cc-ed2d-4b85-ba8c-60cf71c912c8,https://www.fire.ca.gov/incidents/2019/7/30/mill-fire/
1309,Carson Fire,2019-07-31,2019-07-30,13,-120.75664,38.757636,Placerville,El Dorado,6ac64fee-1420-420c-bff1-1d4908b059be,https://www.fire.ca.gov/incidents/2019/7/30/carson-fire/
1310,Mesa Fire,,2019-07-31,448,-118.41204,35.60989,Lake Isabella,Kern,1f0d1a35-bf41-45d8-b3b8-26cca8d2d83e,https://www.fire.ca.gov/incidents/2019/7/31/mesa-fire/
1311,Caliente Fire,2019-08-03,2019-08-01,448,-117.026667,32.575556,Tijuana,San Diego,ca65fae0-e6d7-4600-890c-62da03753131,https://www.fire.ca.gov/incidents/2019/8/1/caliente-fire/
1312,Browns Fire,2019-08-02,2019-08-02,84,-121.123611,38.3525,Clay,Sacramento,12e44df4-d425-4f09-96b9-25256ffbdcb2,https://www.fire.ca.gov/incidents/2019/8/2/browns-fire/
1313,Prairie Fire,2019-08-02,2019-08-02,50,-121.114095,38.622058,El Dorado Hills,Sacramento,a0d95805-48db-467e-8dd5-db761eb5ae74,https://www.fire.ca.gov/incidents/2019/8/2/prairie-fire/
1314,Meadow Fire (Not a CAL FIRE incident),2019-08-02,2019-08-02,103,-120.23976,41.43783,Alturas,Modoc,2f735b66-c275-4557-a8ad-0ff60e0552f3,https://www.fire.ca.gov/incidents/2019/8/2/meadow-fire-not-a-cal-fire-incident/
1315,Marsh Complex,2019-08-06,2019-08-03,757,-121.872941,37.908362,Clayton,Contra Costa,1f576988-2ad0-4a7b-afed-f650caafc579,https://www.fire.ca.gov/incidents/2019/8/3/marsh-complex/
1316,Five Fire,2019-08-05,2019-08-03,156,-118.752395,34.677864,Lebec,Los Angeles,ed5e111d-e34a-42c0-9ce7-818270037c2c,https://www.fire.ca.gov/incidents/2019/8/3/five-fire/
1317,La Barisa Fire,2019-08-04,2019-08-03,26,-116.4449,34.202883,Yucca Valley,San Bernardino,4433d477-a962-4ad9-a306-71f0f79fff65,https://www.fire.ca.gov/incidents/2019/8/3/la-barisa-fire/
1318,Gilbert Fire,,2019-08-04,30,-122.25409,40.55924,Palo Cedro,Shasta,0f3326bd-4a0f-4351-b978-38eb29f4d490,https://www.fire.ca.gov/incidents/2019/8/4/gilbert-fire/
1319,Caliente Fire,2019-08-06,2019-08-05,29,-118.623651,35.287373,Bear Valley Springs,Kern,fbe088d0-2a17-4d04-aac7-0e32ac8a1ef7,https://www.fire.ca.gov/incidents/2019/8/5/caliente-fire/
1320,Toro Fire,2019-08-06,2019-08-05,94,-117.333728,33.740219,Good Hope,Riverside,0089d3c4-c554-46e1-8eb9-af95e4dfae0c,https://www.fire.ca.gov/incidents/2019/8/5/toro-fire/
1321,Sellers Fire,,2019-08-07,58,-121.678172,37.968494,Knightsen,Contra Costa,e338f506-b9fa-44c0-ae64-324ed0e590d4,https://www.fire.ca.gov/incidents/2019/8/7/sellers-fire/
1322,R-1 Fire,,2019-08-07,130,-120.336977,40.886677,Johnstonville,Lassen,5f7b19a6-5f22-49ac-bf0e-ecef96385d37,https://www.fire.ca.gov/incidents/2019/8/7/r-1-fire/
1323,3-2 Willow (Previously H-1 Fire),,2019-08-07,107,-121.320838,40.900458,Burney,Lassen,9a9bc21f-36f5-4092-b98e-c0d584d198db,https://www.fire.ca.gov/incidents/2019/8/7/3-2-willow-previously-h-1-fire/
1324,Golf Fire,2019-08-11,2019-08-08,20,-122.7751,38.99174,Soda Bay,Lake,280f9652-7843-4275-9016-b95296fbf571,https://www.fire.ca.gov/incidents/2019/8/8/golf-fire/
1325,Preston Fire,2019-08-08,2019-08-08,21,-120.420058,37.949747,Jamestown,Tuolumne,3e020c0d-e35b-4e01-96b7-a3c8e40fd281,https://www.fire.ca.gov/incidents/2019/8/8/preston-fire/
1326,W1 McDonald Fire,2019-08-11,2019-08-08,1020,-120.275298,40.943799,Alturas,Lassen,94cdd032-ea04-4713-b54a-dc3476635684,https://www.fire.ca.gov/incidents/2019/8/8/w1-mcdonald-fire/
1327,Harte Fire,,2019-08-09,240,-121.841879,37.708743,Pleasanton,Alameda,4affde91-31a9-4588-bf14-7201fc5c548b,https://www.fire.ca.gov/incidents/2019/8/9/harte-fire/
1328,Ward Fire,2019-08-18,2019-08-09,1301,-122.175,42.033,Klamath Falls,State of Oregon,e3d66b1b-3b3b-40a3-96ec-574c1a27cbe9,https://www.fire.ca.gov/incidents/2019/8/9/ward-fire/
1329,Heavy Range Fire,2019-08-10,2019-08-10,33,-121.423281,39.171091,Beale Air Force Base,Yolo,f044a406-06ab-457d-8a93-c52bb1930604,https://www.fire.ca.gov/incidents/2019/8/10/heavy-range-fire/
1330,Radio Fire,2019-08-12,2019-08-12,20,-117.004667,33.909792,Beaumont,Riverside,073d3328-3d8c-459a-8ac8-5dc6095511ec,https://www.fire.ca.gov/incidents/2019/8/12/radio-fire/
1331,Lower Fire,2019-08-13,2019-08-12,46,-122.54364,40.46968,Shasta,Shasta,618ca03c-28fd-4d66-abf3-d065d72d8cb4,https://www.fire.ca.gov/incidents/2019/8/12/lower-fire/
1332,Moose Fire,2019-08-17,2019-08-12,225,-123.195306,39.005262,Talmage,Mendocino,c8f94c30-d0ee-450a-8501-30678aa37c0f,https://www.fire.ca.gov/incidents/2019/8/12/moose-fire/
1333,West Fire,,2019-08-13,105,-118.342239,34.675542,Leona Valley,Los Angeles,eb975e90-a689-40fc-8f44-b13c774de0e8,https://www.fire.ca.gov/incidents/2019/8/13/west-fire/
1334,Timm Fire,2019-08-13,2019-08-13,81,-121.969167,38.455,Allendale,Solano,ce97fe6d-a635-45f1-bc18-cdd1698673c2,https://www.fire.ca.gov/incidents/2019/8/13/timm-fire/
1335,Greenstone Fire,2019-08-14,2019-08-14,16,-120.890556,38.703889,Shingle Springs,El Dorado,22c3cb30-55b1-4fcd-9606-6a0dcedce4ef,https://www.fire.ca.gov/incidents/2019/8/14/greenstone-fire/
1336,Spring Fire,2019-08-14,2019-08-14,20,-122.309167,39.088333,Williams,Colusa,f2a78d1c-66be-40f8-a2d8-5756eb265162,https://www.fire.ca.gov/incidents/2019/8/14/spring-fire/
1337,Bayliss Fire,,2019-08-15,60,-121.761974,37.219717,Seven Trees,Santa Clara,0deca389-4481-4d91-8765-40caba3ea31c,https://www.fire.ca.gov/incidents/2019/8/15/bayliss-fire/
1338,Cottage Fire,2019-08-17,2019-08-15,156,-122.159393,40.484329,Palo Cedro,Shasta,2443f637-15d7-4cf9-a405-133cf1748300,https://www.fire.ca.gov/incidents/2019/8/15/cottage-fire/
1339,Hunter Fire,,2019-08-15,423,-120.208019,37.532028,Mariposa,Mariposa,852f3058-ccaa-4877-8e8e-f5b8a9649936,https://www.fire.ca.gov/incidents/2019/8/15/hunter-fire/
1340,Border 9 Fire,2019-08-16,2019-08-15,80,-116.760465,32.57394,Villa del Campo,San Diego,e094035d-ac9c-4ea9-a23b-bb55321a64d6,https://www.fire.ca.gov/incidents/2019/8/15/border-9-fire/
1341,Patterson Fire,2019-08-16,2019-08-15,35,-120.826165,38.652475,Deer Park,El Dorado,2760040b-e17b-430f-b581-a81694b450ac,https://www.fire.ca.gov/incidents/2019/8/15/patterson-fire/
1342,Border 8 Fire,2019-08-17,2019-08-16,1507,-116.658735,32.573437,Lomas de Santa Anita,Mexico,74b94fe9-3524-40ce-ac18-ee637bf66f15,https://www.fire.ca.gov/incidents/2019/8/16/border-8-fire/
1343,Gaines Fire,,2019-08-16,1300,-120.177018,37.536069,Mariposa,Mariposa,547b7d19-9b75-4c11-8b88-56adb6460a3c,https://www.fire.ca.gov/incidents/2019/8/16/gaines-fire/
1344,Patterson Fire,2019-08-21,2019-08-21,139,-121.55867,37.71734,Mountain House,Alameda,d35fa87b-0f19-4dd8-8739-4bdbc92d1361,https://www.fire.ca.gov/incidents/2019/8/21/patterson-fire/
1345,Mountain Fire,2019-08-26,2019-08-22,600,-122.241944,40.715556,Bella Vista,Shasta,1bf3e829-5fb3-43d2-9179-6c337709df19,https://www.fire.ca.gov/incidents/2019/8/22/mountain-fire/
1346,Yucca Fire,2019-08-23,2019-08-22,34,-116.857817,33.4506,Aguanga,Riverside,46896a04-8502-403c-b362-e4adc9e7ad4d,https://www.fire.ca.gov/incidents/2019/8/22/yucca-fire/
1347,Horse Fire,2019-08-27,2019-08-24,131,-120.544,40.562,Susanville,Lassen,97c4d72f-c1e9-425e-9dcf-44150047af92,https://www.fire.ca.gov/incidents/2019/8/24/horse-fire/
1348,Long Valley Fire,2019-08-27,2019-08-24,2438,-120.029722,39.892222,Cold Springs,Lassen,2ce810c9-88f1-4efe-9254-8cbd339d2397,https://www.fire.ca.gov/incidents/2019/8/24/long-valley-fire/
1349,Ivy Fire,2019-08-25,2019-08-25,80,-117.487578,33.77777348,El Cerrito,Riverside,cb87a6f4-a560-41a5-81c0-1064d0c368b6,https://www.fire.ca.gov/incidents/2019/8/25/ivy-fire/
1350,Jamieson Fire,,2019-08-25,35,-121.45597,37.034183,Gilroy,Santa Clara,19343958-2921-41d2-a3f8-501badcd0bee,https://www.fire.ca.gov/incidents/2019/8/25/jamieson-fire/
1351,Border 10 Fire,2019-08-28,2019-08-25,25,-116.873955,32.557546,Ejido Javier Rojo Gomez,"Mexico, San Diego",808c34bb-4e64-4eb5-9c3e-2a1e58195074,https://www.fire.ca.gov/incidents/2019/8/25/border-10-fire/
1352,Sage Fire,2019-08-27,2019-08-27,12,-116.914799,33.463991,Aguanga,Riverside,faf6064e-fc50-4289-8486-1235f20289d7,https://www.fire.ca.gov/incidents/2019/8/27/sage-fire/
1353,R-1 Fire,2019-09-04,2019-08-28,3380,-120.581,40.593,Susanville,Lassen,4ee8f023-1c92-4266-bb79-d41fdb3a5826,https://www.fire.ca.gov/incidents/2019/8/28/r-1-fire/
1354,Carroll Fire,2019-08-31,2019-08-31,19,-121.657011,37.718636,Livermore,Alameda,40ce99a7-fbca-4b41-b3bf-e2f863fdcc7e,https://www.fire.ca.gov/incidents/2019/8/31/carroll-fire/
1355,Creek Fire,,2019-08-31,756,-119.030621,36.40193,Woodlake,Tulare,8faaa845-634f-4f94-b25e-f5ae78703da6,https://www.fire.ca.gov/incidents/2019/8/31/creek-fire/
1356,Jolon Fire,2019-09-02,2019-09-01,66,-120.992914,35.906482,Lake Nacimiento,Monterey,954bfbe7-424c-49e0-9611-23e9f7a475a2,https://www.fire.ca.gov/incidents/2019/9/1/jolon-fire/
1357,Snail Fire,2019-09-05,2019-09-01,279,-119.3547,34.71011,Pine Mountain Club,Ventura,1b6cdbc8-4ab9-49e9-b6ed-e38d55e263cc,https://www.fire.ca.gov/incidents/2019/9/1/snail-fire/
1358,Mines Fire,2019-09-02,2019-09-02,11,-121.596667,37.545167,Livermore,Alameda,de9cacb4-0be2-47d1-8cf2-7a25aabacfae,https://www.fire.ca.gov/incidents/2019/9/2/mines-fire/
1359,Antelope Fire,2019-09-03,2019-09-02,167,-120.8405,36.600167,South Dos Palos,San Benito,ebdceb89-fa30-486a-94f8-3eff8eedbd67,https://www.fire.ca.gov/incidents/2019/9/2/antelope-fire/
1360,Telephone Fire,2019-09-06,2019-09-02,15,-117.343833,34.353667,Oak Hills,San Bernardino,a5331bf6-d695-4309-a846-96808e41d757,https://www.fire.ca.gov/incidents/2019/9/2/telephone-fire/
1361,Country Fire,2019-09-06,2019-09-03,85,-120.946657,38.898915,Auburn Lake Trails,El Dorado,89008310-149d-480f-946f-4ce5a2a71c3f,https://www.fire.ca.gov/incidents/2019/9/3/country-fire/
1362,Deer Fire,2019-09-06,2019-09-03,10,-122.07743,37.178353,Boulder Creek,Santa Cruz,23f65de3-bf4d-4edf-a5eb-b21299195b0f,https://www.fire.ca.gov/incidents/2019/9/3/deer-fire/
1363,Walker Fire,,2019-09-04,54612,-120.680556,40.061389,East Quincy,Plumas,3a48b649-8714-433d-9952-ff2bf9e8c90a,https://www.fire.ca.gov/incidents/2019/9/4/walker-fire/
1364,Tenaja,2019-09-14,2019-09-04,1926,-117.273157,33.528469,Murrieta,Riverside,f68808fb-a705-4083-a136-1a45c61c7f74,https://www.fire.ca.gov/incidents/2019/9/4/tenaja/
1365,Glass Fire,2019-09-05,2019-09-04,28,-122.642572,38.910498,Lower Lake,Lake,da7fa4d6-cbf3-4cf9-babf-1cc79aa2f536,https://www.fire.ca.gov/incidents/2019/9/4/glass-fire/
1366,Foster Fire,2019-09-04,2019-09-04,17,-121.39478,36.732866,Ridgemark,San Benito,d8c705d2-2820-43d2-bee4-8335354bcab0,https://www.fire.ca.gov/incidents/2019/9/4/foster-fire/
1367,Red Bank Fire,2019-09-13,2019-09-05,8838,-122.64,40.12,Rancho Tehama Reserve,Tehama,14ad161c-bfc6-41ae-af84-a464084a4142,https://www.fire.ca.gov/incidents/2019/9/5/red-bank-fire/
1368,Flood Fire,2019-09-05,2019-09-05,44,-120.945044,38.017138,Linden,San Joaquin,3d4c2809-cd37-4f07-b86e-68dcd52c7434,https://www.fire.ca.gov/incidents/2019/9/5/flood-fire/
1369,Henthorne Fire,2019-09-18,2019-09-05,244,-123.222196,40.062304,Covelo,Trinity,791059a2-b50f-4ab0-924a-bfdac001e4b9,https://www.fire.ca.gov/incidents/2019/9/5/henthorne-fire/
1370,South Fire,2019-12-02,2019-09-05,5332,-122.789,40.109,Rancho Tehama Reserve,Tehama,38d46a2f-d1f6-4ed8-a502-e57e393844ea,https://www.fire.ca.gov/incidents/2019/9/5/south-fire/
1371,Springs Fire,,2019-09-06,4840,-118.872,37.826,Mammoth Lakes,Mono,226da8c8-26c0-49d7-b5ef-952cd969f918,https://www.fire.ca.gov/incidents/2019/9/6/springs-fire/
1372,Lone Fire,2019-09-13,2019-09-06,5737,-121.056,41.748,Tulelake,Modoc,81977367-45ad-4962-92f3-ae30f22ef723,https://www.fire.ca.gov/incidents/2019/9/6/lone-fire/
1373,Cow Fire,2019-11-21,2019-09-06,1975,-118.228,36.284,Lone Pine,Inyo,c3b236b9-3a1d-481d-b1eb-b0aa77c5b462,https://www.fire.ca.gov/incidents/2019/9/6/cow-fire/
1374,Broder Fire,,2019-09-06,381,-118.185,36.151,Kernville,Tulare,737ef617-abaa-44a1-9bbc-f46240468b8f,https://www.fire.ca.gov/incidents/2019/9/6/broder-fire/
1375,Taboose Fire,2019-11-21,2019-09-06,10296,-118.345,37.034,Big Pine,Inyo,e7ea56c5-4290-4406-b0a5-c9d1718e9700,https://www.fire.ca.gov/incidents/2019/9/6/taboose-fire/
1376,Forbestown Fire,2019-09-12,2019-09-06,58,-121.412333,39.470333,Oroville East,Butte,2de3ab6b-60c5-4400-9bff-74c79ed7d553,https://www.fire.ca.gov/incidents/2019/9/6/forbestown-fire/
1377,R-6 Fire,2019-09-11,2019-09-06,260,-120.606,44.734,Fossil,Lassen,393edada-d2bf-4a33-94f2-2d2123357015,https://www.fire.ca.gov/incidents/2019/9/6/r-6-fire/
1378,Lime Fire,,2019-09-07,1872,-122.662258,41.862237,Yreka,Siskiyou,5c74d3fc-eaeb-4a75-9a07-5f8af961237b,https://www.fire.ca.gov/incidents/2019/9/7/lime-fire/
1379,Kidder 2 Fire,2019-09-26,2019-09-07,227,-123.2129356,41.4929742,Happy Camp,Siskiyou,69b0cca6-c0c6-4a96-8f61-07ebb0ff9dc7,https://www.fire.ca.gov/incidents/2019/9/7/kidder-2-fire/
1380,Rams Horn Fire,2019-09-12,2019-09-07,280,-122.634108,41.150392,Mount Shasta,Trinity,b24dc89c-632d-46a1-8984-2ce037e37834,https://www.fire.ca.gov/incidents/2019/9/7/rams-horn-fire/
1381,Oak Fire,2019-09-08,2019-09-07,53,-122.833831,38.955024,Kelseyville,Lake,25e65946-2e28-453b-bcb4-617b623be750,https://www.fire.ca.gov/incidents/2019/9/7/oak-fire/
1382,Swedes Fire,2019-09-13,2019-09-07,496,-121.412619,39.45296,Oroville East,Butte,63a43984-64ce-40aa-bbc3-98330a46353f,https://www.fire.ca.gov/incidents/2019/9/7/swedes-fire/
1383,Duzel Fire,2019-09-10,2019-09-07,15,-122.740333,41.512917,Yreka,Siskiyou,efba4d61-2027-4b05-8506-04d9858154ca,https://www.fire.ca.gov/incidents/2019/9/7/duzel-fire/
1384,Sycamore Fire,2019-09-08,2019-09-07,250,-117.3063,33.9369,March Air Force Base,Riverside,a14c1f49-8e49-4709-a21b-6c06471a1002,https://www.fire.ca.gov/incidents/2019/9/7/sycamore-fire/
1385,McMurray Fire,2019-09-14,2019-09-09,200,-120.187368,34.630919,Buellton,Santa Barbara,4cebaf5a-70a7-4262-864b-fb3fe3b1d84d,https://www.fire.ca.gov/incidents/2019/9/9/mcmurray-fire/
1386,Bailey Fire,2019-09-10,2019-09-10,10,-116.631106,33.496633,Anza,Riverside,5a4639e4-0d1d-4cee-8215-0aa1d53a5160,https://www.fire.ca.gov/incidents/2019/9/10/bailey-fire/
1387,Stuhr Fire,,2019-09-11,190,-121.110146,37.32585,Newman,Stanislaus,8f6c8f60-1daf-4c04-8507-dcc81656b8c5,https://www.fire.ca.gov/incidents/2019/9/11/stuhr-fire/
1388,Redwood Fire,,2019-09-12,34,-117.270144,33.854597,Mead Valley,Riverside,b277af3b-3785-44c1-bdfb-c5a5ba766d2b,https://www.fire.ca.gov/incidents/2019/9/12/redwood-fire/
1389,Bridge Fire,2019-09-13,2019-09-13,11,-120.401028,37.492002,Merced,Stanislaus,a8b79d35-dab7-4513-ac65-25fd99541662,https://www.fire.ca.gov/incidents/2019/9/13/bridge-fire/
1390,Horseshoe Fire,,2019-09-14,520,-117.043723,33.4853,Temecula,Riverside,c9327432-b3d3-4ea1-b810-d339dc9e25c3,https://www.fire.ca.gov/incidents/2019/9/14/horseshoe-fire/
1391,Bar Fire,,2019-09-15,91,-123.000833,41.749667,Yreka,Siskiyou,8b4a5b95-3f51-4038-a7ea-b5ed3c73c2e5,https://www.fire.ca.gov/incidents/2019/9/15/bar-fire/
1392,Bautista Fire,2019-09-22,2019-09-15,167,-116.801111,33.635,Idyllwild-Pine Cove,Riverside,980c4c7d-dcc9-45b3-b5c1-181c1cd445e9,https://www.fire.ca.gov/incidents/2019/9/15/bautista-fire/
1393,Baseline Fire,,2019-09-20,604,-121.432636,38.751648,Elverta,Placer,ebc468e3-c2ec-43ff-95e9-c319a7ec3d40,https://www.fire.ca.gov/incidents/2019/9/20/baseline-fire/
1394,Reservoir Fire,2019-09-24,2019-09-21,128,-121.842751,37.467744,Milpitas,Santa Clara,3934f762-ba99-471a-b1d9-dc064276c383,https://www.fire.ca.gov/incidents/2019/9/21/reservoir-fire/
1395,Lopez Fire,2019-09-27,2019-09-21,220,-120.455883,35.214364,Arroyo Grande,San Luis Obispo,840010ca-aef0-4f91-b771-3bf196317d03,https://www.fire.ca.gov/incidents/2019/9/21/lopez-fire/
1396,Kennedy Fire,2019-09-22,2019-09-21,98,-117.170588,33.900994,Moreno Valley,Riverside,7b283f4f-c613-4840-aa90-1f6e9fa1573a,https://www.fire.ca.gov/incidents/2019/9/21/kennedy-fire/
1397,Lynette Fire,,2019-09-22,67,-120.827386,38.20177,Valley Springs,Calaveras,9fc12331-47f4-4d79-bffe-914f13658993,https://www.fire.ca.gov/incidents/2019/9/22/lynette-fire/
1398,Tulloch Fire,2019-09-24,2019-09-23,83,-120.625556,37.838333,Copperopolis,Tuolumne,e7910549-a5ca-4712-bd04-349c49c1ba15,https://www.fire.ca.gov/incidents/2019/9/23/tulloch-fire/
1399,Cow Fire,2019-09-24,2019-09-24,16,-122.039167,40.612556,Shingletown,Shasta,f24e0e23-63ee-4038-a04d-41fe70cac747,https://www.fire.ca.gov/incidents/2019/9/24/cow-fire/
1400,Dehesa Fire,,2019-09-24,200,-116.806941,32.787656,Harbison Canyon,San Diego,94cd8534-defa-4a82-b1be-42a2704c13d2,https://www.fire.ca.gov/incidents/2019/9/24/dehesa-fire/
1401,Electra Fire,2019-09-25,2019-09-25,10,-120.67131,38.332083,Pine Grove,Amador,755df0b3-ad02-406b-af5d-738b67d8c755,https://www.fire.ca.gov/incidents/2019/9/25/electra-fire/
1402,Willow Fire,2019-09-25,2019-09-25,52,-116.88,32.87833333,Lakeside,San Diego,abdb011f-15d8-475b-b08e-4df583700411,https://www.fire.ca.gov/incidents/2019/9/25/willow-fire/
1403,Mare Fire,,2019-09-26,30,-122.2561111,38.07944444,Vallejo,Solano,178b2af3-340c-409d-80e6-21ac119969f0,https://www.fire.ca.gov/incidents/2019/9/26/mare-fire/
1404,Hwy Fire,2019-09-28,2019-09-28,300,-121.693472,39.622137,Durham,Butte,b8e5a940-0fb5-4c63-93ab-a855cfdc4e0c,https://www.fire.ca.gov/incidents/2019/9/28/hwy-fire/
1405,Chaparral Fire,2019-09-29,2019-09-29,22,-120.965105,38.538467,Cameron Park,El Dorado,48f89096-4641-42cc-8ec4-9cba635e79a1,https://www.fire.ca.gov/incidents/2019/9/29/chaparral-fire/
1406,Warren Fire,2019-09-30,2019-09-30,19,-117.033598,33.703546,Winchester,Riverside,1e85b2a3-0d55-4c3a-9fbb-5208d615cccd,https://www.fire.ca.gov/incidents/2019/9/30/warren-fire/
1407,Frame Fire,,2019-09-30,25,-120.634179,36.154184,Coalinga,Fresno,05b9432b-a5cf-4a8f-bf0e-9b95a04bbdde,https://www.fire.ca.gov/incidents/2019/9/30/frame-fire/
1408,Ranch Fire,,2019-10-01,52,-120.1755,35.189783,Nipomo,San Luis Obispo,e2a0252b-2da9-4967-ba33-7abe3ced1efa,https://www.fire.ca.gov/incidents/2019/10/1/ranch-fire/
1409,Del Fire,2019-10-04,2019-10-03,18,-121.336465,37.429506,Patterson,Stanislaus,2e4017ba-5c18-4de6-8098-54b2a6caf5bd,https://www.fire.ca.gov/incidents/2019/10/3/del-fire/
1410,Elk Fire,2019-10-03,2019-10-04,63,-123.4375,41.70611111,Happy Camp,Glenn,082bd2d3-457b-496b-a469-0d2550aac7ef,https://www.fire.ca.gov/incidents/2019/10/4/elk-fire/
1411,Wilson Fire,,2019-10-04,10,-123.458782,39.613783,Laytonville,Mendocino,1dd6f339-956d-4ec5-bac5-713ba3cd53d4,https://www.fire.ca.gov/incidents/2019/10/4/wilson-fire/
1412,Briceburg Fire,,2019-10-06,5563,-119.96606,37.604638,Midpines,Mariposa,e7aeb204-15af-4a2a-8f2a-bfd2c8dbe411,https://www.fire.ca.gov/incidents/2019/10/6/briceburg-fire/
1413,American Fire,2019-10-07,2019-10-06,526,-122.211671,38.165873,American Canyon,Napa,74c3d01f-8809-40bc-a0e2-b1cc24bf1a7d,https://www.fire.ca.gov/incidents/2019/10/6/american-fire/
1414,Point Fire,2019-10-07,2019-10-07,29,-121.219163,37.066483,Hollister,Santa Clara,25e80e7d-5790-4192-9cf0-a190f36158f0,https://www.fire.ca.gov/incidents/2019/10/7/point-fire/
1415,Dales Fire,2019-10-07,2019-10-07,11,-122.070055,40.314187,Red Bluff,Tehama,a4bd4cbb-53de-47c8-972f-cca4c36aaf74,https://www.fire.ca.gov/incidents/2019/10/7/dales-fire/
1416,Little Fire,2019-10-08,2019-10-08,12,-121.853,37.606,Pleasanton,Alameda,a87ab8be-3da9-4cb0-a72c-5125acc001ef,https://www.fire.ca.gov/incidents/2019/10/8/little-fire/
1417,Cross Fire,2019-10-11,2019-10-09,289,-120.73102,35.79069,San Miguel,"Monterey, San Luis Obispo",207f72f7-1453-40dc-919e-3551f7041b22,https://www.fire.ca.gov/incidents/2019/10/9/cross-fire/
1418,Corning Fire,2019-10-09,2019-10-09,68,-122.1604,39.847708,Corning,Tehama,18fe1e24-799d-4aa9-a7ec-fa8e331ae3e9,https://www.fire.ca.gov/incidents/2019/10/9/corning-fire/
1419,Inghram Fire,2019-10-08,2019-10-09,10,-122.160416,39.847708,Corning,Tehama,d6114db7-8a39-4b86-92a5-5c3dea1f348f,https://www.fire.ca.gov/incidents/2019/10/9/inghram-fire/
1420,Merrill Fire,2019-10-10,2019-10-10,40,-122.103867,37.828267,Moraga,Contra Costa,19578ef2-6101-45b0-a82e-db3004c3a8a5,https://www.fire.ca.gov/incidents/2019/10/10/merrill-fire/
1421,Eagle Fire,2019-10-10,2019-10-10,9,-117.499619,33.827979,El Cerrito,Riverside,6e93b252-99a3-4214-9921-238373b17535,https://www.fire.ca.gov/incidents/2019/10/10/eagle-fire/
1422,Reche Fire,2019-10-13,2019-10-10,350,-117.207068,33.975405,Moreno Valley,Riverside,8739a46c-9d9b-464c-87d0-31738601d96f,https://www.fire.ca.gov/incidents/2019/10/10/reche-fire/
1423,Sandalwood Fire,,2019-10-10,1011,-117.059167,33.9925,Calimesa,Riverside,7ff84b11-c3fb-4f5c-8a00-07243d4a4e33,https://www.fire.ca.gov/incidents/2019/10/10/sandalwood-fire/
1424,Plains Fire,2019-10-10,2019-10-10,42,-122.19911,40.4988,Palo Cedro,Shasta,f20ba27e-4c6c-4ca9-a356-ef88c4f788bb,https://www.fire.ca.gov/incidents/2019/10/10/plains-fire/
1425,Wolf Fire,2019-10-12,2019-10-10,75,-116.897333,33.8615,Banning,Riverside,d37acb3f-94c8-47ef-b3da-6eb0d7353aa7,https://www.fire.ca.gov/incidents/2019/10/10/wolf-fire/
1426,Wendy Fire,,2019-10-10,91,-118.950833,34.156389,Casa Conejo,Ventura,fd21c9dc-a89f-4a29-990b-33b95ae2adc9,https://www.fire.ca.gov/incidents/2019/10/10/wendy-fire/
1427,Saddle Ridge Fire,2019-10-31,2019-10-10,8799,-118.48161,34.32988,San Fernando,Los Angeles,c52717d6-0297-4c5b-a0f1-f17abcd7ac27,https://www.fire.ca.gov/incidents/2019/10/10/saddle-ridge-fire/
1428,Bitter Fire,2019-10-11,2019-10-11,30,-120.312856,35.709176,Shandon,San Luis Obispo,fd1bc30a-4377-45f6-ba2b-b4e1c7e65ee7,https://www.fire.ca.gov/incidents/2019/10/11/bitter-fire/
