,incident_name,incident_dateonly_extinguished,incident_dateonly_created,incident_acres_burned,incident_longitude,incident_latitude,city,incident_county,incident_id,incident_url
1010,Flat Fire,2019-01-04,2018-06-28,300,-122.9144,40.60402,Weaverville,Trinity,70ff3ebc-0d1f-43eb-ab56-1ff13fe9c9e3,https://www.fire.ca.gov/incidents/2018/6/28/flat-fire/
1011,San Ardo,2019-06-21,2018-06-26,375,-120.86256,35.95515,Lake Nacimiento,Monterey,8811a5f8-b99a-454a-9af5-6753579c8d45,https://www.fire.ca.gov/incidents/2018/6/26/san-ardo/
1012,Lions Fire,2019-01-04,2018-06-11,4064,-119.118,37.571,Mammoth Lakes,Madera,b17eb5bf-c44a-4e13-99d0-bbdf5e8f8f67,https://www.fire.ca.gov/incidents/2018/6/11/lions-fire/
1013,Anchor Fire,2019-01-04,2018-06-27,76,-119.304499,36.696879,Squaw Valley,Fresno,595f6f52-a55b-40e7-8aa6-b409ff9a7a5b,https://www.fire.ca.gov/incidents/2018/6/27/anchor-fire/
1014,Shippee Fire,2019-01-04,2018-06-26,347,-121.78208,39.59872,Durham,Butte,a3ba8fc0-37f7-4c1a-9386-627d3369a03e,https://www.fire.ca.gov/incidents/2018/6/26/shippee-fire/
1015,Fox Fire,2019-01-04,2018-06-26,260,-120.71488,35.33916,San Luis Obispo,San Luis Obispo,91b94b02-cd05-471a-a4e7-5168d56c46ba,https://www.fire.ca.gov/incidents/2018/6/26/fox-fire/
1016,Hyatt Fire,2019-01-04,2018-06-27,441,-120.45053,40.316137,Janesville,Lassen,218619b5-ad0c-4238-8e31-ab6d98932a73,https://www.fire.ca.gov/incidents/2018/6/27/hyatt-fire/
1017,Cherry Fire,2019-01-04,2018-06-27,63,-122.99272,41.83359,Yreka,Siskiyou,5aa13874-fb24-44f0-969a-d12dbc7edca8,https://www.fire.ca.gov/incidents/2018/6/27/cherry-fire/
1018,Par Fire,2019-01-04,2018-07-04,191,-121.637759,39.491737,Thermalito,Butte,cbf84797-7cc2-40a4-8157-d74c89792e9e,https://www.fire.ca.gov/incidents/2018/7/4/par-fire/
1019,Grant Fire,2019-01-04,2018-06-29,30,-121.17693,38.595865,Gold River,Sacramento,c8060137-4a83-479b-9f36-429a698aac06,https://www.fire.ca.gov/incidents/2018/6/29/grant-fire/
1020,Valley Fire,2019-01-04,2018-06-29,268,-121.9921,37.94714,Concord,Contra Costa,53770321-4d20-4db9-bfad-754f9eeabc2b,https://www.fire.ca.gov/incidents/2018/6/29/valley-fire/
