time,city,county,year,frequency,2m_temperature,total_precipitation,low_vegetation_cover,high_vegetation_cover,10m_wind_speed,volumetric_soil_water_layer_1,total_cloud_cover,density
2013-01-01,East Quincy,Plumas County,2013,0,267.4702,0.0011730492,0.13883081,0.8003906,1.9376473,0.45330083,0.4834157,15666
2013-01-01,Edwards Air Force Base,Kern County,2013,0,280.64993,0.00027655065,0.9817802,0,3.281594,0.024821877,0.27943233,289153
2013-01-01,El Cerrito,Riverside County,2013,0,283.38016,0.0010489067,0.8366929,0.15024492,1.8046284,0.20195809,0.31378567,813435
2013-01-01,Elverta,Sacramento County,2013,0,279.76324,0.0006485954,0.6095555,0.37069875,1.6489639,0.33263448,0.38719845,559945
2013-01-01,Encinitas,San Diego County,2013,0,285.77713,0.0009499751,0,0,3.001633,4.35e-06,0.3110765,1179403
2013-01-01,Esparto,Yolo County,2013,0,280.46742,0.00068488343,0.225527599,0.7724352750000001,1.73585415,0.32043330000000003,0.3707619,75904
2013-01-01,Fairfield,Solano County,2013,0,280.45486,0.0006409567,0.33079517,0.621641,1.8267698,0.33460265,0.4230879,154210
2013-01-01,Fairmead,Madera County,2013,0,280.39795,0.0009308765,0.49091297,0.509087,1.6910672,0.3255998,0.3698542,49669
2013-01-01,Farmersville,Tulare County,2013,0,281.1243,0.0010718256,0.5439092,0.45609084,1.5146027,0.3134678,0.3713624,144606
2013-01-01,Fillmore,Ventura County,2013,0,281.53882,0.0011042934,0.5537515,0.44624847,2.0300732,0.16151045,0.3365482,283532
2013-01-01,Firebaugh,Fresno County,2013,0,281.1147,0.00078381505,0.7831017,0.2157844,1.6038413,0.3201565,0.3347328,321458
2013-01-01,Fontana,San Bernardino County,2013,0,280.86642,0.0012379847,0.7491645,0.1780935,2.1666145,0.15114675,0.3143582,704913
2013-01-01,Ford City,Kern County,2013,0,282.2238,0.00066960417,0.80289316,0.19710681,1.4456611,0.1554214,0.36606973,289153
2013-01-01,Forest Ranch,Butte County,2013,0,277.33746,0.00078954455,0.08908489,0.91091514,2.9729493,0.3411607,0.3832883,96989
2013-01-01,Foresthill,Placer County,2013,0,275.860015,0.0012779017,0.00938458735,0.98879187,2.60005925,0.436067725,0.404026,156172
2013-01-01,Fort Bragg,Mendocino County,2013,0,282.3269666666667,0.0010522174216666667,0.00136318305,0.21895839166666667,4.202412166666666,0.16456779466666668,0.5198637349999999,40614
2013-01-01,Fort Irwin,San Bernardino County,2013,0,280.78108,0.00038516861071428564,0.9786726757142858,0,1.997507107142857,0.027645652928571424,0.26093299571428574,704913
2013-01-01,Frazier Park,Kern County,2013,0,279.33025999999995,0.00121220155,0.43185111,0.5391711,1.90183445,0.23463296,0.32825315,289153
2013-01-01,Fremont,Alameda County,2013,0,280.9935,0.0008984078,0.6418598,0.2844521,1.6269898,0.35619113,0.41037995,589352
2013-01-01,Fresno,Fresno County,2013,0,280.79623,0.0006925231,0.6385485,0.36145148,1.5979705,0.30112824,0.35604304,321458
2013-01-01,Gerber,Tehama County,2013,0,278.8315,0.0005645612,0.31971678,0.65246516,2.431982,0.34427443,0.37545407,27180
2013-01-01,Gilroy,Santa Clara County,2013,0,280.88785,0.000795275,0.21848536,0.7731372,1.6610413,0.33855438,0.35509342,643833
2013-01-01,Golden Hills,Kern County,2013,0,278.2574,0.0006543258,0.5028001,0.4971999,2.1714792,0.21756515,0.34431264,289153
2013-01-01,Gonzales,Monterey County,2013,0,280.43713,0.0012933714,0.1617811,0.8382189,1.9076214,0.34830305,0.40848073,139733
2013-01-01,Good Hope,Riverside County,2013,0,282.5873,0.0011042934,0.97744644,0.022553533,1.9193635,0.21471283,0.30846506,813435
2013-01-01,Goshen,Tulare County,2013,0,281.36295,0.0005454626,0.5439092,0.45609084,1.6407447,0.26747695,0.375077,144606
2013-01-01,Green Valley,Los Angeles County,2013,0,279.4603,0.00050344504,0.67713976,0.32286024,2.701543,0.10055068,0.31053185,3473910
2013-01-01,Greenfield,Monterey County,2013,0,281.3993475,0.00093135354,0.44730898750000003,0.5379503575,2.07695685,0.2647899325,0.367553485,139733
2013-01-01,Guerneville,Sonoma County,2013,0,280.59894,0.0006925231,0.08534631,0.53295285,2.2207952,0.34557372,0.4092488,206148
2013-01-01,Gustine,Merced County,2013,0,281.27283,0.00069061294,0.65185475,0.34814522,1.5033641,0.2883043,0.3179332,84060
2013-01-01,Hacienda Heights,Los Angeles County,2013,0,284.3976,0.0006944332,0.9226496,0.052645236,2.0134664,0.122339055,0.3054766,3473910
2013-01-01,Half Moon Bay,San Mateo County,2013,0,283.86449,0.00099867725,0,0,4.653805,0.08992558499999999,0.42930918500000004,272698
2013-01-01,Hamilton City,Glenn County,2013,0,279.52087,0.00047670677,0.51006365,0.48993638,1.9817634,0.3393309,0.37643158,10893
2013-01-01,Happy Camp,Siskiyou County,2013,0,274.4391216666667,0.002381939916666667,0.013158773316666669,0.9853203683333334,1.6208670833333334,0.40058795166666666,0.50124171,24080
2013-01-01,Hayfork,Trinity County,2013,0,275.96249000000006,0.00126612405,0.0077111273,0.9922888933333333,1.7252303833333336,0.4643116233333333,0.48847558666666674,8764
2013-01-01,Hemet,Riverside County,2013,0,281.34152,0.0010584565,0.97744644,0.022553533,2.0406408,0.21206039,0.3184778,813435
2013-01-01,Hidden Valley Lake,Lake County,2013,0,280.0285,0.00072078966,0.049486518,0.9464392,1.6895576,0.3525777,0.3891535,35612
2013-01-01,Hollister,San Benito County,2013,0,280.3433,0.0008201031,0.37913722,0.6208628,1.5983057,0.3261072,0.3557498,17979
2013-01-01,Huntington Park,Los Angeles County,2013,0,284.9466,0.00080673397,0.5589703,0.048525184,2.0240345,0.10845417,0.30367517,3473910
2013-01-01,Huron,Fresno County,2013,0,281.72577,0.0006218571,0.94118994,0.03625655,1.4615965,0.3178808,0.32161987,321458
2013-01-01,Hydesville,Humboldt County,2013,0,276.48773,0.0019282158,0,1,1.8524346,0.39547017,0.5321108,62181
2013-01-01,Idyllwild-Pine Cove,Riverside County,2013,0,280.02704,0.0011386713,0.5721392,0.42786077,2.035273,0.19273993,0.3264796,813435
2013-01-01,Inverness,Marin County,2013,0,283.88713714285717,0.00088765818,0,0,6.5606330999999996,4.35e-06,0.47666472000000004,111823
2013-01-01,Inyokern,Kern County,2013,0,276.8597625,0.0005188190875,0.9552286775,0.032296702,2.0738534750000004,0.074779832,0.2896161325,289153
2013-01-01,Isla Vista,Santa Barbara County,2013,0,285.84055461538463,0.0015124201538461541,0,0,6.108803115384616,4.349999999999999e-06,0.3142561538461538,153977
2013-01-01,Jamestown,Tuolumne County,2013,0,280.11496,0.0008411119,0.66761786,0.29394352,1.6524863,0.3477418,0.31157923,31332
2013-01-01,Janesville,Lassen County,2013,0,268.75090875,0.0005454622499999999,0.900914425,0.05512680498749999,1.5754301,0.26013087874999996,0.5217821487500001,12730
2013-01-01,Johnstonville,Lassen County,2013,0,267.77612666666664,0.0006193112000000001,0.9048672666666667,0.08115504333333333,1.9137719666666666,0.2941165833333333,0.5115360733333333,12730
2013-01-01,Joshua Tree,San Bernardino County,2013,0,281.21425750000003,0.00036106329,1,0,2.387907875,0.023128558,0.27121754750000004,704913
2013-01-01,Julian,San Diego County,2013,0,281.29056,0.0010928344,0.5738941,0.42610592,2.056744,0.12542203,0.3233515,1179403
2013-01-01,Kernville,Kern County,2013,0,271.889195,0.00114917525,0.15479988,0.8306578499999999,1.48751235,0.28382208,0.35588940999999996,289153
2013-01-01,Kettleman City,Kings County,2013,0,281.91936,0.000480526125,0.8179467,0.182053314,1.44616415,0.27966661,0.32500635,44600
2013-01-01,Keyes,Stanislaus County,2013,0,280.88638,0.00087357964,0.5532327,0.44676727,1.5850544,0.32270133,0.3226114,180054
2013-01-01,King City,Monterey County,2013,0,280.7012775,0.0006985391974999999,0.5110631325,0.473639245,1.791670075,0.31790964999999993,0.353731875,139733
2013-01-01,Kingsburg,Fresno County,2013,0,281.34744,0.00091941655,0.31924373,0.65905726,1.4953122,0.3001672,0.35949233,321458
2013-01-01,La Crescenta-Montrose,Los Angeles County,2013,0,282.88065,0.0009499751,0.6949171,0.27447242,2.3343563,0.13237986,0.3092471,3473910
2013-01-01,Laguna Niguel,Orange County,2013,0,285.67886,0.000455698,0.6341843,0.0926556,2.4157112,0.10251887,0.30308864,1061560
2013-01-01,Lagunitas-Forest Knolls,Marin County,2013,0,281.9563,0.00067915395,0.07115498,0.92709017,3.4889226,0.16184103,0.40835506,111823
2013-01-01,Lake Los Angeles,Los Angeles County,2013,0,280.32407,0.00044614822,0.99998474,0,3.134149,0.037053823,0.276779,3473910
2013-01-01,Lake Nacimiento,San Luis Obispo County,2013,0,281.95038,0.00069061294,0.4510552,0.5220576,1.8770924,0.338416,0.34839034,118512
2013-01-01,Lake Wildwood,Nevada County,2013,0,278.84924,0.00069634244,0.24937055,0.7506294,1.975389,0.36432526,0.36429623,52940
2013-01-01,Lakeport,Lake County,2013,0,278.60318,0.0007761754,0.005234003,0.9892268,1.6073637,0.35625264,0.42132834,35612
2013-01-01,Lakeview,Lake County,2013,0,264.9323384615385,0.0010321879576923076,0.8955112615384616,0.08565854778461539,2.3980208923076924,0.3016451107692308,0.5576932092307694,35612
2013-01-01,Lancaster,Los Angeles County,2013,0,280.7689,0.00039305352,0.9966887,0,3.2740455,0.034524396,0.2837335,3473910
2013-01-01,Larkfield-Wikiup,Sonoma County,2013,0,279.89035,0.0006772438,0.19181177,0.8081882,1.7957377,0.3502866,0.41535142,206148
2013-01-01,Laton,Fresno County,2013,0,281.14572,0.00048052613,0.5775106,0.42248943,1.6808348,0.26029617,0.3845172,321458
2013-01-01,Laytonville,Mendocino County,2013,0,278.93101,0.0010573103666666668,0.00438455751,0.94012686,1.7678367333333334,0.3587359233333333,0.5132351266666667,40614
2013-01-01,Le Grand,Merced County,2013,0,280.25534,0.0009060474,0.49517038,0.50482965,1.5858932,0.32829833,0.3329872,84060
2013-01-01,Lebec,Kern County,2013,0,278.6926,0.0007532574,0.67713976,0.32286024,2.3326793,0.138269,0.32385427,289153
2013-01-01,Lemoore,Kings County,2013,0,281.64227,0.0003185682,0.69734335,0.30265668,1.5682802,0.23630898,0.35242617,44600
2013-01-01,Lemoore Station,Kings County,2013,0,281.7339,0.00053209346,0.6936658,0.3063342,1.5355706,0.2613187,0.3436144,44600
2013-01-01,Lenwood,San Bernardino County,2013,0,279.78221,0.00031602165333333333,0.9983926666666667,0.0013123154666666668,2.5180336333333337,0.024568175333333334,0.27269200666666665,704913
2013-01-01,Lewiston,Trinity County,2013,0,275.78379333333334,0.0010159295333333335,0.039847628,0.9601523900000001,1.7030884333333332,0.46002545,0.43419454,8764
2013-01-01,Lincoln,Placer County,2013,0,279.09308,0.0005168142,0.28646636,0.71353364,1.6620479,0.34608114,0.3495634,156172
2013-01-01,Linden,San Joaquin County,2013,0,279.92508,0.0008697603,0.6831215,0.29156303,1.6097121,0.34641173,0.33882448,236448
2013-01-01,Lindsay,Tulare County,2013,0,280.8568,0.0015030764,0.392413,0.57921964,1.2339706,0.34960234,0.37228405,144606
2013-01-01,Littlerock,Los Angeles County,2013,0,279.7396,0.0010015415,0.5506844,0.40030214,2.7676334,0.097083315,0.3043315,3473910
2013-01-01,Live Oak,Santa Cruz County,2013,0,283.14,0.0011806889,0,0,3.0688975,0.06914438,0.37106913,104975
2013-01-01,Livermore,Alameda County,2013,0,280.12827,0.00086212065,0.81571114,0.15323576,1.6966023,0.31783468,0.349312,589352
2013-01-01,Livingston,Merced County,2013,0,281.2063,0.0007704459,0.60044557,0.39279446,1.4966545,0.30574882,0.39124823,84060
2013-01-01,Loma Linda,San Bernardino County,2013,0,281.42133,0.0009308765,0.97744644,0.022553533,2.092473,0.17355788,0.29959744,704913
2013-01-01,Loma Rica,Yuba County,2013,0,279.26746,0.00053973217,0.4665741,0.5334259,1.729312,0.34425905,0.36903027,27856
2013-01-01,Lompoc,Santa Barbara County,2013,0,285.8854977083333,0.00132712865625,0,0,6.787947960416669,0.0017308323958333332,0.4251811510416666,153977
2013-01-01,Lone Pine,Inyo County,2013,0,273.29752928571423,0.0006317070535714287,0.8145405542857143,0.11388046667857142,1.4493751499999998,0.1546086422142857,0.2752857814285714,9497
