,2013,2014,2015,2016,2017,2018,2019
"Paradise town, California","26,245","26,353","26,378","26,482","26,629","26,711","4,476"
"Paramount city, California","54,854","54,914","54,971","54,789","54,621","54,259","53,955"
"Parlier city, California","14,882","14,991","15,141","15,213","15,283","15,342","15,618"
"Pasadena city, California","139,292","139,529","141,025","141,601","141,757","140,906","141,029"
"Patterson city, California","20,985","21,270","21,509","21,824","22,125","22,345","22,524"
"Perris city, California","72,295","73,485","74,613","76,046","77,563","78,903","79,291"
"Petaluma city, California","59,337","59,753","60,295","60,468","60,682","61,826","60,520"
"Pico Rivera city, California","63,597","63,637","63,670","63,438","63,133","62,677","62,027"
"Piedmont city, California","11,085","11,228","11,361","11,401","11,368","11,251","11,135"
"Pinole city, California","18,880","19,057","19,232","19,330","19,333","19,325","19,250"
"Pismo Beach city, California","7,856","7,900","8,117","8,180","8,220","8,206","8,168"
"Pittsburg city, California","66,646","67,974","69,260","70,798","72,000","72,450","72,588"
"Placentia city, California","52,105","52,108","52,202","52,154","51,916","51,538","51,233"
"Placerville city, California","10,562","10,674","10,762","10,810","11,020","11,064","11,175"
"Pleasant Hill city, California","34,062","34,385","34,700","34,883","34,903","34,889","34,839"
"Pleasanton city, California","74,026","77,454","79,265","82,330","82,831","82,357","81,777"
"Plymouth city, California",968,965,973,985,995,"1,036","1,076"
"Point Arena city, California",446,448,448,448,449,452,449
"Pomona city, California","151,072","152,225","152,407","152,445","152,468","151,925","151,691"
"Porterville city, California","58,891","58,995","59,721","59,699","59,745","59,685","59,599"
"Port Hueneme city, California","22,114","22,049","22,334","22,243","22,217","22,117","21,926"
"Portola city, California","1,961","1,929","1,906","1,927","1,922","1,928","1,930"
"Portola Valley town, California","4,514","4,572","4,603","4,612","4,596","4,591","4,568"
"Poway city, California","49,377","49,649","49,877","49,915","49,802","49,576","49,323"
"Rancho Cordova city, California","67,722","69,389","70,640","72,162","73,398","74,478","75,087"
"Rancho Cucamonga city, California","170,815","173,220","174,203","175,782","176,921","177,345","177,603"
"Rancho Mirage city, California","17,607","17,761","17,886","18,053","18,225","18,305","18,528"
"Rancho Palos Verdes city, California","42,326","42,368","42,401","42,303","42,136","41,821","41,530"
"Rancho Santa Margarita city, California","49,038","49,069","49,027","48,828","48,566","48,197","47,896"
"Red Bluff city, California","14,022","13,987","14,097","14,167","14,265","14,303","14,539"
"Redding city, California","90,773","91,120","90,963","91,203","91,525","91,606","92,590"
"Redlands city, California","69,800","70,209","70,625","71,027","71,342","71,416","71,513"
"Redondo Beach city, California","67,629","67,673","67,771","67,809","67,511","67,206","66,749"
"Redwood City city, California","81,034","82,741","85,274","85,293","86,394","86,105","85,925"
"Reedley city, California","25,002","25,395","25,541","25,583","25,602","25,607","25,658"
"Rialto city, California","101,547","102,031","102,485","102,896","103,234","103,232","103,526"
"Richmond city, California","107,083","107,921","109,062","109,663","109,860","110,189","110,567"
"Ridgecrest city, California","28,569","28,591","28,616","28,604","28,699","28,851","28,973"
"Rio Dell city, California","3,365","3,364","3,368","3,399","3,399","3,381","3,349"
"Rio Vista city, California","7,712","8,005","8,280","8,598","8,952","9,206","9,718"
"Ripon city, California","14,803","14,998","15,185","15,551","15,754","16,018","16,386"
"Riverbank city, California","23,400","23,606","23,879","24,271","24,585","24,700","24,881"
"Riverside city, California","315,510","317,702","320,483","323,684","326,882","329,654","331,360"
"Rocklin city, California","59,613","60,060","60,908","62,605","64,654","67,065","68,823"
"Rohnert Park city, California","41,325","42,104","42,293","42,570","42,697","43,676","43,291"
"Rolling Hills city, California","1,885","1,884","1,882","1,880","1,871","1,861","1,845"
"Rolling Hills Estates city, California","8,183","8,193","8,211","8,203","8,176","8,114","8,058"
"Rosemead city, California","54,398","54,429","54,440","54,332","54,221","54,226","54,058"
"Roseville city, California","126,769","128,397","130,018","132,708","135,077","138,953","141,500"
"Ross town, California","2,473","2,485","2,482","2,472","2,464","2,457","2,451"
